audit_id,audit_date,department_name,finding,severity,status,manager_id,project_id
1,2026-03-04,Operations,Himself including western.,High,In Review,171,385
2,2026-02-13,Logistics,Can fall with late.,Critical,Open,294,52
3,2026-02-13,Veterinary,Right sense debate.,High,Open,337,131
4,2026-01-08,Operations,Protect bar hot entire fish factor.,Medium,Open,67,284
5,2026-04-04,Logistics,One price finally.,Medium,Open,61,436
6,2026-02-12,Logistics,Fill TV war seem.,High,Open,3,308
7,2026-03-22,Operations,Nation beat light oil.,Medium,Closed,422,70
8,2026-02-08,Logistics,Crime recently popular.,High,In Review,446,82
9,2026-02-10,Logistics,History possible brother by.,High,Open,412,134
10,2026-04-03,Logistics,Kitchen green analysis allow standard bit.,Low,Open,143,95
11,2026-02-09,Analytics,Answer will blood.,Low,Closed,407,341
12,2026-03-14,Analytics,Condition rise to.,Medium,Open,429,131
13,2026-03-13,Operations,My customer many once step.,Critical,In Review,464,498
14,2026-01-19,Operations,Available process new.,High,Closed,479,420
15,2026-02-26,Veterinary,Quite skill writer.,High,Closed,470,371
16,2026-03-29,Analytics,Girl century cultural.,Medium,Closed,322,340
17,2026-04-12,Operations,Ok final term writer.,Low,In Review,174,85
18,2026-01-17,Logistics,Crime thing magazine trade medical magazine.,High,Open,306,94
19,2026-02-28,Analytics,Research rise dinner alone.,Critical,Closed,235,492
20,2026-02-15,Analytics,Subject fund turn its.,Medium,Open,486,318
21,2026-01-21,Logistics,She that would.,Critical,In Review,416,109
22,2026-03-28,Operations,Probably just tend apply whole.,Low,Open,240,299
23,2026-01-08,Veterinary,Guy sing old TV sea.,Medium,In Review,320,322
24,2026-03-15,Operations,Space mission line store into TV.,Low,Open,166,224
25,2026-03-24,Logistics,Record method environment social whether.,Medium,Open,466,401
26,2026-01-12,Analytics,Eat hospital eight price foot per.,Critical,Open,305,176
27,2026-02-03,Operations,Cost work success.,Medium,Closed,239,309
28,2026-04-02,Analytics,Fine push answer fly drop when.,Critical,Open,267,240
29,2026-03-21,Operations,Affect mission woman ability stuff.,High,Closed,278,227
30,2026-01-13,Analytics,Factor what film special year.,High,Open,216,33
31,2026-03-19,Analytics,Space card inside opportunity total expect.,Low,Open,282,417
32,2026-04-08,Logistics,Such travel happy nice.,Critical,Open,105,461
33,2026-02-09,Logistics,Drop show local.,High,In Review,497,249
34,2026-02-18,Analytics,Strong growth figure night save take wear.,Critical,Open,351,402
35,2026-01-02,Logistics,Sometimes hour himself audience wear.,Low,In Review,381,206
36,2026-04-02,Analytics,Door list sign site build.,High,Closed,423,11
37,2026-02-08,Analytics,Scientist majority peace long.,Medium,Open,175,134
38,2026-04-07,Operations,Senior model into sense Mrs modern.,Low,Open,270,402
39,2026-01-18,Veterinary,Trouble technology appear.,High,In Review,65,442
40,2026-02-15,Operations,Tell recognize none many.,Low,In Review,194,451
41,2026-02-06,Operations,Born money throw key.,Low,In Review,108,285
42,2026-04-06,Operations,Better mention memory.,Low,In Review,476,263
43,2026-04-08,Logistics,Hear enough policy share knowledge.,Medium,Closed,346,25
44,2026-01-29,Analytics,None position special country defense reflect.,Medium,Open,430,405
45,2026-03-27,Veterinary,Evening never role democratic data authority color.,Critical,In Review,158,172
46,2026-03-18,Operations,Less indeed even for.,Critical,Open,202,153
47,2026-01-12,Logistics,Be carry air institution fine.,Critical,In Review,331,128
48,2026-02-02,Logistics,Red describe star professor southern between.,Low,Closed,407,181
49,2026-02-06,Operations,Firm course on manager.,Low,Closed,409,3
50,2026-02-18,Analytics,Common somebody century assume.,Critical,In Review,171,175
51,2026-03-17,Analytics,Least somebody easy west.,Low,In Review,98,34
52,2026-03-06,Operations,Wide clear west yard.,Critical,Open,363,389
53,2026-02-03,Veterinary,Just check outside require bit sit.,High,In Review,428,347
54,2026-03-04,Operations,Scientist early need ground.,High,In Review,39,52
55,2026-02-25,Analytics,Wind father agent food late short.,Critical,Closed,189,95
56,2026-04-05,Analytics,Word south performance notice same develop.,High,Open,81,425
57,2026-02-18,Operations,Edge bank model.,Low,In Review,137,215
58,2026-01-20,Analytics,Spend least hold power account.,Low,In Review,129,330
59,2026-02-08,Logistics,Either toward all central man involve.,Medium,Open,320,100
60,2026-02-24,Operations,Every case network.,Medium,In Review,136,23
61,2026-02-20,Analytics,Bed democratic power head citizen.,High,Open,195,120
62,2026-02-08,Veterinary,Indicate fight over house campaign.,Critical,Closed,417,367
63,2026-04-01,Operations,Set today author behind next yard.,Medium,Open,62,121
64,2026-01-29,Logistics,Lose would cell.,Medium,In Review,63,158
65,2026-04-02,Veterinary,Step value require.,Critical,Closed,64,58
66,2026-04-10,Logistics,City partner audience couple.,High,Closed,333,29
67,2026-01-22,Veterinary,Sure data look cold without.,Low,Open,364,418
68,2026-01-28,Logistics,Upon fill quickly ever economic instead.,Critical,In Review,247,410
69,2026-03-21,Operations,That agency city.,High,In Review,243,476
70,2026-01-18,Operations,Candidate Democrat concern spring population certainly.,Medium,In Review,213,8
71,2026-03-29,Veterinary,Blood trial side.,Medium,Open,108,263
72,2026-04-10,Veterinary,Court subject page front.,Low,Closed,372,490
73,2026-03-19,Operations,Put up such.,Critical,Open,149,78
74,2026-02-17,Veterinary,Final situation fine clearly letter.,Low,Open,16,224
75,2026-03-17,Veterinary,Win especially series word military how.,Medium,Closed,8,51
76,2026-02-15,Logistics,Stock subject example surface.,Critical,In Review,272,299
77,2026-03-26,Analytics,Door work parent story head.,Medium,In Review,110,333
78,2026-02-19,Operations,Maintain company lose pressure.,Low,Closed,181,472
79,2026-02-15,Logistics,Someone every sing treatment.,Medium,Open,238,399
80,2026-02-04,Operations,Get keep discover candidate ago.,Medium,Closed,223,485
81,2026-02-26,Veterinary,General national environmental actually single.,Low,Open,74,422
82,2026-02-24,Analytics,Great billion some road Republican.,High,Open,131,55
83,2026-03-26,Analytics,Factor condition general include.,Medium,In Review,272,213
84,2026-04-05,Logistics,Information hope use.,High,In Review,91,429
85,2026-02-23,Logistics,Without coach various customer response physical.,Critical,In Review,60,382
86,2026-03-09,Operations,Generation share name evening impact talk.,High,In Review,52,97
87,2026-03-26,Logistics,Major over live.,Low,Open,56,136
88,2026-03-28,Operations,View difficult attorney small.,Low,Open,433,67
89,2026-02-08,Analytics,Go hard go marriage put news almost.,Critical,Closed,147,251
90,2026-03-31,Analytics,Spend across argue position.,High,Closed,431,33
91,2026-01-15,Logistics,One third respond receive.,Low,Open,224,110
92,2026-04-08,Veterinary,Article lawyer possible tough value peace.,Critical,In Review,41,194
93,2026-03-05,Analytics,Song represent company hot long heart.,Medium,Open,87,87
94,2026-01-29,Veterinary,Even organization pressure.,Medium,Closed,28,145
95,2026-02-19,Logistics,Paper win writer page.,High,In Review,472,310
96,2026-02-02,Operations,Nearly able structure third almost.,Medium,In Review,264,233
97,2026-03-30,Veterinary,Human south team.,Low,Closed,380,471
98,2026-03-11,Operations,Each generation case push series goal.,Medium,Open,428,392
99,2026-01-26,Operations,Difficult approach phone mother worry.,Critical,Closed,295,154
100,2026-01-21,Logistics,Consider mouth brother character finally.,High,Open,427,489
101,2026-01-21,Logistics,Do goal must under.,Low,In Review,59,168
102,2026-03-21,Operations,Big center realize staff.,Critical,In Review,104,189
103,2026-01-07,Analytics,Unit group describe head team.,Low,Open,396,359
104,2026-02-01,Veterinary,Produce trial ten room.,Critical,Closed,386,240
105,2026-03-28,Analytics,Behind bill win.,High,Closed,285,110
106,2026-03-26,Veterinary,Surface week standard suffer.,Critical,Open,181,452
107,2026-02-07,Operations,Certain local investment little.,Medium,Open,196,352
108,2026-02-22,Analytics,Party force who beautiful beat most.,Critical,In Review,364,395
109,2026-02-21,Analytics,Top population baby cold into set.,Critical,Open,395,153
110,2026-03-31,Operations,Catch stock team management new call.,Critical,Open,206,391
111,2026-03-16,Operations,Those total almost.,Medium,In Review,184,10
112,2026-01-04,Logistics,Former add out something.,Low,In Review,497,11
113,2026-04-03,Logistics,Reason interest or season either half.,Medium,In Review,322,441
114,2026-03-05,Analytics,Election thousand require war middle garden we.,High,Open,407,229
115,2026-03-23,Logistics,Red control democratic.,Medium,Closed,177,108
116,2026-01-05,Analytics,Win society song summer wrong summer.,High,Open,64,166
117,2026-02-12,Analytics,Road might teach war whom explain.,Critical,Open,403,487
118,2026-01-18,Logistics,Order ahead price activity.,Medium,In Review,37,478
119,2026-02-08,Logistics,Interview himself mission least question and.,Low,In Review,416,190
120,2026-01-18,Analytics,Age billion manager.,Low,Closed,32,265
121,2026-01-22,Veterinary,Now country former inside.,Medium,Open,387,378
122,2026-03-09,Analytics,Risk shoulder out.,Critical,In Review,377,414
123,2026-02-26,Veterinary,Industry attorney a.,High,Open,161,386
124,2026-01-14,Analytics,Foreign reach play too quickly.,High,Open,222,263
125,2026-03-15,Logistics,Concern case area movie sit.,Low,In Review,21,180
126,2026-03-26,Operations,Later whole seat early daughter.,Medium,Closed,329,258
